Minimum,Q1,Q2 (Median),Q3,Maximum,Mean
3051.5,3614.0,3740.0,4114.0,6041.0,3962.919540229885
2981.0,3371.5,3604.0,4035.5,7287.5,3879.3799126637555
2957.5,3388.0,3554.25,3952.375,8462.5,3942.014492753623
2858.0,3337.625,3543.5,4302.5,11280.0,3976.151785714286
2884.5,3219.5,3693.5,3964.0,7540.5,3771.3166666666666
2774.5,3058.875,3355.75,3836.125,8707.0,3652.2350746268658
2749.5,3150.25,3333.0,3806.0,6608.0,3561.7371794871797
2601.5,3162.5,3537.0,3937.5,7963.0,3686.078828828829
3.0,3036.75,3201.0,3765.0,7059.5,3463.1666666666665
2611.0,3065.0,3229.5,3763.5,9304.5,3584.29756097561
2665.0,3065.375,3303.25,3799.5,13007.0,3634.88518258427
2616.0,3041.5,3287.0,3763.0,7491.0,3589.728624535316
2721.0,3056.875,3347.0,4079.0,13279.5,3753.563679245283
2663.5,3018.625,3359.75,3988.625,7652.5,3667.09375
2801.5,3200.5,3407.0,4142.25,10772.5,3754.850220264317
2822.0,3173.0,3546.25,4000.5,9728.5,3825.142578125
2894.5,3265.0,3577.5,4089.0,8787.0,3894.0521739130436
2937.0,3379.0,3632.0,3903.0,7332.0,3745.125498007968
2962.0,3409.5,3650.0,3899.0,8644.5,3797.3883495145633
3005.0,3454.5,3850.0,4827.0,10183.5,4248.539877300614
